intent,answer
ask_main_exams_prenatal,"Os principais exames feitos no pré-natal são:
- Fezes para pesquisa de verminoses
- Sangue
- Urina
- Ultrassonografia intravaginal
- Ultrassonografia da translucência nucal
- Triagem de diabetes gestacional
- Triagem de estreptococo beta-hermolitico
- Ultrassonografia do 3º trimestre
Se quiser saber mais sobre algum exame em especifico é só me perguntar :)"
ask_allowed_exercises,"Os melhores exercícios para serem praticados na gravidez são: 
- Caminhada
- Pilates
- Alongamentos
- Hidroginástica. 
No entanto, só devem ser realizados sob orientação médica pois em alguns casos, como gravidez de risco, nenhum tipo de atividade física é permitida."
ask_allowed_depilation,"Você pode se depilar com lâmina e com cera. A chamada depilação a laser não é recomendada, por precaução, já que não são feitos testes em gestantes."
ask_needed_feed,"Durante a gestação, alguns nutrientes não podem faltar na alimentação como:
- Proteínas: carnes e ovos (as gestantes veganas e vegetarianas devem buscar ajuda de um nutricionista para compensar adequadamente as necessidades de ferro e proteína da gestação)
- Carboidrato: cereais, massas e pães, de preferencia integrais
- Cálcio: Vegetais verde-escuros, leites e derivados e cereais integrais
- Ferro: carnes, leguminosas e vegetais verde-escuros
- Ácido fólico: frutas, carnes, ovos, leguminosas e vegetais verde-escuros"
ask_needed_vaccine,"Você pode tomar a vacina da gripe, da difteria, tétano e coqueluche acelular e a vacina da hepatite B. Estas vacinas protegem você e o bebê, já que os anticorpos que constituem a vacina, passam para o bebê através do cordão umbilical.
Existem outras situações em que você pode tomar vacina, como quando corre elevado risco de contrair uma doença. Mas nestes casos, o seu médico irá te indicar quais vacinas tomar.
Sempre comunique o estado de gravidez ao fazer uma vacina."
ask_signs_labor,"Os sinais variam muito mas podem começar com dores na região lombar que se irradiam para o abdômen, deixando a barriga dura mais ou menos a cada meia hora – são as famosas contrações. Se você sentir duas contrações de 40 segundos a um minuto e meio no período de dez minutos aí pode ser que você esteja entrando mesmo em trabalho de parto. Em alguns casos, o trabalho de parto se anuncia com um discreto sangramento genital ou ainda com a rotura da bolsa. Outro sinal importante é a dilatação do colo uterino acima de 2 centímetros, mas isso só o seu médico pode observar."
ask_ideal_weight,"Isso depende de como você estava antes de engravidar. Se você tinha o índice de massa corporal (IMC) normal pode ganhar em média 12kg até o parto. Já se você estava com sobrepeso, deve ganhar no máximo uns 9kg."
ask_best_sleeping_position,A melhor posição para dormir é virada para o lado esquerdo. Assim você não comprime a veia cava e garante uma boa circulação e oxigenação tanto para você quanto para o bebê.
ask_best_childbirth,"Em condições normais, o parto normal é sempre a melhor opção. A recuperação é mais rápida, o leite geralmente desce mais cedo, o bebê entra em contato com bactérias que vão lhe conferir maior imunidade e há menos riscos. Já a cesárea é uma cirurgia que pode salvar vidas quando corretamente indicada. Porém há uma perda sanguínea três vezes maior, risco de infecção, dores no pós-parto e a cicatriz."
ask_cases_forceps,"Normalmente é utilizado quando o bebê está posicionado corretamente e quase saindo, mas fica preso no canal de parto, sem dar sinais de qualquer avanço. Também se utiliza esta técnica quando a mãe está exausta e sem forças para continuar até ao final do parto, como aquelas que apresentam contrações muito fracas.

Antes de utilizar o fórceps, a bolsa deve ter estourado, o colo do útero deve estar completamente dilatado e a cabeça do bebê deveria estar totalmente encaixada num ponto próximo da abertura vaginal, pronta para sair."
ask_medicine,"Os remédios só devem ser utilizados quando necessário e sob orientação a orientação do seu médico, por isso, se achar necessidade de tomar algum medicamento, consulte seu médico primeiro."
ask_not_allowed_exercises,"Exercícios de grande impacto não são recomendados na gravidez, especialmente se a gestante não praticava estas atividades antes da gestação. 
Como regra geral, devem ser evitados exercícios muito intensos, nos quais a grávida sinta o coração muito acelerado (> 140 bpm) ou fique muito ofegante. Devem também ser evitadas atividades onde haja risco de trauma abdominal ou queda, como ciclismo, patinação e esportes de contato ou esportes com bola (lutas, futebol, vôlei, basquete).
A gestante deve estar atenta ainda ao fato de que a gravidez leva a diminuição do equilíbrio, aumentando o risco de quedas. Além disso, os hormônios da gestação promovem maior flexibilidade articular e com isso maior risco de distensões e lesões durante o exercício."
ask_not_allowed_food,"Durante a gravidez, algumas substâncias presentes nos alimentos podem causar problemas para o feto e para a gestação em si. Por isso, é bom evitar:
- Ovos crus
- Leites e queijos não pasteurizados
- Frutas e vegetais mal lavados
- Peixes crus e carnes mal passadas
- Café
- Bebidas alcoólicas"
ask_not_allowed_vaccine,"As seguintes vacinas não devem ser tomadas pois são vacinas com vírus ou elementos vivos que podem afetar o bebê causando complicações, como malformação ou aborto, por exemplo.
- BCG
- Tríplice viral
- Pólio
- Rubéola
- Catapora
- Caxumba
- Sarampo
- HPV
- Dengue
A vacina da febre amarela também é de vírus vivos inativados, porém pode ser recomendada em algumas situações especiais, onde o risco de ocorrer a infecção é muito alto. Nestas situações, cada caso será avaliado individualmente pelo médico.

Sempre comunique o estado de gravidez ao fazer uma vacina."
ask_what_is_prenatal,"O acompanhamento pré-natal é um conjunto de avaliações clínicas e exames realizados durante a gestação que possibilitam que a mulher faça um acompanhamento detalhado da sua saúde e do bebê. É de extrema importância, pois ajuda a prevenir diversas doenças e complicações que podem trazer inclusive o parto prematuro e o aborto."
ask_what_is_postpartum,"O puerpério é o período de 42 dias a oito semanas após o parto, durante o qual o corpo da mulher retorna às condições anteriores à gestação. As transformações ocorrem em vários âmbitos: mudanças hormonais, físicas, contornors corporais, peso, retorno do útero e órgãos genitais ao estado pré-gravídico, além de modificações emocionais. Quase todos os sistemas corporais são afetados. A exceção são as mamas, que, devido à amamentação, atingem seu desenvolvimento completo no puerpério e não retornam ao estado pré-gravídico."
ask_what_is_loco,"O lóquio é o sangramento que ocorre no pós-parto e é semelhante a menstruação. 
Nas primeiras 24 horas, o lóquio é um pouco mais intenso que uma menstruação. Contudo, a partir desse momento o fluxo vai diminuindo até que fique como um corrimento. O tempo de duração do lóquio varia. Se a mulher amamenta vai demorar menos tempo, mas se não amamenta, pode ocorrer por até um mês."
ask_what_is_miscarriage,"Aborto espontâneo ocorre quando a gravidez que é interrompida naturalmente até a 22ª semana de gestação. Se ocorrer antes da 12ª semana, o abortamento é considerado precoce; depois disso, é chamado de tardio."
ask_what_is_amniotic_fluid,"Líquido amniótico é o fluido que envolve o embrião, preenchendo a bolsa amniótica, que desta forma o protege de choques mecânicos e térmicos. "
ask_what_is_pre_eclampsia,"Picos de aumento da pressão arterial durante a gravidez que, se não controlados, levam à eclâmpsia propriamente dita, condição que põe em risco a vida tanto da mãe quanto do bebê. É preciso tomar medicamentos e fazer um acompanhamento rigoroso."
ask_what_is_folic_acid,"Ácido fólico é uma vitamina do complexo B, solúvel em água e presente em diversos itens da dieta diária. O folato ocorre naturalmente nos alimentos e o ácido fólico é a forma sintética do folato, usada em medicamentos.
Para gestantes, o folato é especialmente importante para um bom desenvolvimento fetal e formação do tubo neural. A suplementação deve começar pelo menos um mês antes da gravidez e é essencial nas primeiras oito semanas após a concepção. Isto porque é neste período que ocorre o desenvolvimento do sistema nervoso e tubo neural do feto"
ask_what_is_episiotomy,"É o corte do períneo (região localizada entre a vagina e o ânus) na hora do nascimento do bebê, uma técnica usada para aumentar a abertura vaginal a fim de evitar que a área perineal sofra uma laceração."
ask_what_is_trichotomy,"É a raspagem dos pêlos de uma zona do corpo, geralmente antes de uma cirurgia ou intervenção semelhante. Este procedimento é realizado para diminuir o risco de infeção no período pós operatório e deixar a área livre para o procedimento médico.
A depilação pode ser feita por um enfermeiro na maternidade e só é realizada na região onde será feito o corte. No caso do parto normal, não há necessidade de tricotomia. No caso de cesariana, a tricotomia é feita na região próxima de onde será feito o corte."
ask_what_is_forceps,"O fórceps é um instrumento utilizado num parto vaginal, para auxiliar a saída da cabeça do bebê. É semelhante às pinças cirúrgicas, mas cujos extremos têm forma de colher e são ligeiramente curvos. Esta forma permite a sustentação da cabeça do bebé para facilitar o parto."
ask_what_is_braxton_hicks,"As contrações de Braxton Hicks ou falsas contrações, são contrações de treinamento, levam o nome do médico que as identificou. São muito comuns e naturais da gravidez, e se tratam apenas do seu corpo se preparando para as verdadeiras contrações de expulsão do bebê na hora de trabalho de parto. Identificar as contrações de Braxton Hicks é fácil, basta ficar atenta a esses sinais:

- Endurecimento da barriga
- Falta de ar passageira
- Sensação de aperto na barriga e costas"
ask_what_is_eclampsia,"É fácil confundir pré-eclâmpsia com eclâmpsia. A eclâmpsia é uma condição mais grave que envolve convulsões ligadas à pressão alta. Ela geralmente requer o parto imediato do bebê, independentemente do momento da gravidez."
ask_what_is_uterine_height,"É uma medida feita com fita métrica que acompanha o desenvolvimento da gravidez. Por volta do quinto mês, quando o útero fica visível e o teste começa a ser feito, são cerca de 20 cm entre a bacia e a barriga e a elevação chega na altura do umbigo. Depois do terceiro mês, o útero cresce em média um centímetro por mês até o final da gestação."
ask_what_is_amniocentesis,"É um exame que recolhe líquido amniótico da bolsa para investigar possíveis alterações de cromossomos, como a da Síndrome de Down, e outras doenças de origem genética. O teste é recomendado em casos específicos e só pode ser realizado após a 16ª semana de gestação."
ask_what_is_bcf,BCF siginifica batimentos cardíacos fetais. Essa frequência varia entre 120 e 160 batimentos por minutos e vai desacelerando até o momento do parto. Mas é normal que oscile um pouco para além desses parâmetros durante a gravidez. Isso porque as células do coração ainda estão amadurecendo.
ask_what_is_term_baby,São os bebês que nascem entre a 39ª e a 41ª semana de gestação que é a duração considerada ideal para a saúde da criança.
ask_what_is_deflected_baby,"É quando o bebê está na posição correta, a cefálica, de cabeça para baixo, mas o queixo está erguido para cima, como se o bebê estivesse olhando para o chão e não na direção do rosto da mãe – como deveria ser."
ask_what_is_pelvic,"É quando o bebê está sentado, com as pernas para baixo. Há manobras que tentam virar o feto, mas é bem comum que a cesárea seja necessária."
ask_what_is_choric,"É quando o bebê está atravessado na diagonal e neste caso, a cesárea é obrigatório. "
ask_what_is_beta_hcg,"Hormônio produzido pela placenta que é determinante para detectar a gravidez, mas não só isso. Ele pode também ser medido em outros momentos para avaliar o desenvolvimento da gestação, uma vez que dobra de quantidade a cada 24 horas se está tudo certo."
ask_what_is_colostrum,"Líquido anterior ao leite materno, que pode começar a ser produzido ainda no meio da gestação ou só depois do parto. É um composto rico em proteínas e calorias, mais amarelado e grosso do que o leite propriamente dito."
ask_what_is_pdd,É a data prevista para o parto. O cálculo soma 40 semanas à data da última menstruação.
ask_what_is_hyperemesis_gravidarum,"Quando o enjoo ocasional do início da gravidez se transforma em vômitos excessivos, o que necessita de atenção médica. O quadro pode provocar desequilíbrio no nível de minerais no sangue e até exigir internação."
ask_what_is_isthmus_cervical,"Também conhecida como insuficiência do colo uterino. O colo, que liga o útero à vagina, deve estar fechado para segurar o bebê, mas acaba cedendo com o peso da placenta e pode provocar aborto espontâneo tardio ou parto prematuro."
ask_what_is_nesting,"Quando o embrião se fixa na parede do útero e começa a se desenvolver, processo que costuma ocorrer até a terceira semana de gestação e pode causar um pequeno sangramento e leve desconforto mas isso tudo é normal."
ask_what_is_oxytocin,"Hormônio que auxilia as contrações uterinas no trabalho de parto e também trabalha na liberação do leite materno. Depois do nascimento, ajuda o corpo da mãe a entrar em forma novamente. Quanto mais amamentação, maior a produção da substância."
ask_what_is_previous_placenta,"Quando a placenta se fixa na parte inferior do útero, mais perto do colo. A condição é rara, mas perigosa: aumenta o risco de partos prematuros e sangramentos. Mulheres com placenta prévia devem ficar de repouso e se submeter à cesariana para minimizar o perigo."
ask_what_is_epidural_anesthesia,"Tipo de anestesia utilizado em partos normais e cesáreas. Aplicada na região inferior das costas, a mãe perde a sensibilidade apenas da cintura para baixo. Como demora um pouco para fazer efeito, um cateter faz com que a anestesia seja administrada continuamente ou em doses espaçadas."
ask_what_is_cephalic_perimeter,É o tamanho da circunferência da cabeça do bebê.
ask_what_is_spinal_anesthesia,"É uma anestesia comum nos partos, a raquidiana tira a sensibilidade apenas da metade inferior do corpo. De efeito instantâneo, pode ser administrada no parto normal ou cesárea em momentos de dor aguda."
ask_what_is_basal_temperature,"Quando a mulher está ovulando, a temperatura aumenta um ou dois graus. Por isso, quem deseja engravidar pode usar o termômetro para saber se o momento é propício. Mas esse não é um método preciso e deve ser utilizado apenas como auxiliar."
ask_what_is_nuchal_translucency,"Medida da quantidade de líquido na nuca do feto no primeiro trimestre da gravidez, durante o primeiro ultrassom morfológico. Se a quantidade é maior do que deveria, há risco elevado de Síndrome de Down e outras alterações cromossômicas."
ask_can_paint_nails,"Você pode tanto pintar as unhas como também remover a cutícula. O único cuidado é em relação à higiene dos acessórios de manicure. O ideal é que você tenha seu próprio kit de tesoura e alicate para fornecê-lo à profissional. Isso evita possíveis contaminações. Ou, então, escolha um estabelecimento que tenha rígidos procedimentos de esterilização do material."
ask_can_paint_hair,"As tinturas que contém chumbo e amônia estão contraindicadas durante todo o período gestacional. Algumas tinturas semi-permanentes são permitidas após o 4o mês de gestação, por isso consulte seu médico. Escova progressiva, alisamentos e permanentes nos cabelos estão proibidos ao longo de todo o período."
ask_can_discolor_hair,"Evite descolori-los. Não há garantias de que as substâncias químicas usadas no processo não penetrem na pele e, assim, ofereçam riscos ao bebê."
ask_can_ride_motorcycle,"Não há nenhuma contraindicação formal. Mas lembre-se que os acidentes de moto são relativamente comuns e uma queda pode colocar a vida do bebê em risco, portanto procure evitar."
ask_can_horseback_riding,"Assim como a moto, andar a cavalo pode não ser uma boa ideia, pois qualquer queda pode prejudicar você e o bebê."
ask_can_ride_bike,"Não há contraindicação absoluta, porém a gravidez reduz o equilíbrio e as quedas nesse período podem colocar em risco mãe e bebê. Se possível, deve ser evitado."
ask_can_take_laxative,"O ideal é adicionar à dieta alimentos ricos em fibras para melhorar o trânsito intestinal, como frutas e cereais integrais. Se ainda assim o intestino continuar preso, consulte o seu médico e veja com ele se é possível ele te indicar um laxante permitido para gestante."
ask_can_take_bath,"Desde que a temperatura da água esteja morninha, até uns 38°C. Nos primeiros três meses de gestação, a hipertermia (excesso de calor) pode causar malformações no feto. Já a partir do segundo trimestre, é comum a sua pressão cair, o ambiente muito quente pode contribuir para uma pressão ainda mais baixa, o que pode diminuir o fluxo de sangue para o bebê ou te fazer desmaiar."
ask_can_steam_room,"Não, devido à alta temperatura nesse ambiente, fazer sauna é desaconselhado para prevenir problemas como queda de pressão, desmaio e enjoo."
ask_can_chili,"Desde que não te provoque azia ou outro desconforto gástrico, não há problema algum."
ask_can_coffee,"Você pode tomar mas com muita moderação, uma ou duas xícaras pequenas por dia. Isso porque a cafeína piora os sintomas de queimação no estômago, algo comum entre várias gestantes, além de ser muito estimulante."
ask_can_sunbathe,"Você pode tomar sol desde que seja antes das 10 horas ou depois das 16 horas e sempre com um protetor solar com FPS maior que 30. Durante a gestação, você tem um risco maior de ficar com manchas tanto na face como na barriga."
ask_can_moisturizer,"Escolha sempre por produtos exclusivos para gestantes, pois alguns ativos de hidratantes comuns são proibidos durante a gestação."
ask_can_travel,"Então, até o sétimo mês, as viagens podem ser realizadas mas com algumas precauções. Por exemplo, no carro, procure parar a cada uma hora para esticar as pernas.
Se for viajar de avião, procure caminhar pelo corredor da aeronave sempre que der e beba bastante líquido para não se desidratar. Já no oitavo mês, é necessário atestado médico para embarcar. E, no nono, é melhor não fazer nenhuma viagem, nem de carro."
ask_can_ladder,"Sim, mas você deve ficar atenta para não ficar ofegante na subida e, na descida, não se desequilibrar."
ask_can_high_heels,"Você pode usar salto de até 3 centímetros. Mais do que isso, aumenta a possibilidade de você cair devido à mudança de eixo no equilíbrio do corpo."
ask_can_japanese_food,"O melhor é evitar comida japonesa, embora o peixe cru não transmita toxoplasmose, o ideal é evitar o alimento nessa fase – aliás, qualquer carne crua."
ask_can_dentist,"Não só pode como deve, caso ocorra algum problema nos dentes ou nas gengivas. Claro, na verdade, é muito importante ir ao dentista pois doenças bucais são associadas a parto prematuro e nascimento de bebês com baixo peso. Sempre informe o seu dentista da sua situação para que ele possa tomar as devidas precauções."
ask_can_exercise,"A não ser que exista uma contraindicaçao específica dada pelo seu médico (como por exemplo risco aumentado de abortou ou parto prematuro), você pode fazer exercícios durante toda a gestação. Se você não praticava exercícios antes, prefira por atividades mais leves e se você já estava habituada procure diminuir um pouco o ritmo.
Se quiser saber mais sobre quais tipos de exercícios são os mais recomendados ou quais tipos de exercícios devem ser evitados é só me perguntar :)"
ask_can_alcohol,"Não há uma dose segura de álcool para gestantes, portanto não é recomendado. Bebida alcoólica pode acarretar prejuízos ao bebê."
ask_can_drugs,Não é permitido o uso de álcool ou qualquer outra droga pois podem prejudicar o bebê.
ask_can_smoke,"Fumar pode causar insuficiência placentária e aumenta a chance de o bebê nascer antes do tempo e com baixo peso. Além disso, você corre o risco de ter trombose venosa profunda – o que pode levar à morte. Por isso, se você é fumante, é de extrema importância que você tente parar durante esse período."
ask_can_x_ray,"Apenas em situações nas quais seja realmente necessário e os riscos de não fazer compensem os riscos para a gestação, o que sempre terá que ser indicado pelo médico. Além disso, você sempre deverá comunicar ao técnico que realiza o exame pois em alguns casos é possível utilizar um avental para proteger o bebê da radiação."
ask_can_sex,"Fazer sexo na gravidez é uma prática normal e não traz problema nenhum, desde que não haja contraindicações, como ameaça de parto prematuro ou abortamento."
ask_can_raw_meat,"Os peixes crus, como sushi, e as carnes mal passadas devem ser evitados porque podem estar contaminados com a bactéria listeria, que pode causar aborto e parto prematuro, ou com doenças como a cisticercose, que pode afetar o sistema nervoso e prejudicar o funcionamento do cérebro."
ask_can_soda,"Depende, tomar refrigerante durante a gravidez não faz propriamente mal para a mãe ou para o bebê, desde que seja consumido moderadamente e a gestante não tenha problemas de saúde como diabetes ou obesidade, que contraindicam o uso excessivo de açucares."
ask_can_sweetener,"A estévia e a sucralose podem ser ingeridas sem problema, pois são naturais. Já a sacarina não é indicada, pois ela tem a capacidade de atravessar a barreira placentária e, segundo alguns estudos, há o risco de provocar câncer futuramente."
ask_can_vaccine,"Depende. Algumas vacinas estão liberadas, algumas indicadas em condições especiais e outras contraindicadas durante toda a gestação. Sempre consulte seu médico a respeito das vacinas.
Como regra geral, a vacina tríplice bacteriana acelular (difteria, tétano e coqueluche) e hepatite B estão indicadas na gestação, de acordo com o estado vacinal prévio. A vacina da gripe (Influenza A) está indicada nas campanhas anuais sazonais, independente do tempo de gravidez da mãe. 
As vacinas de vírus vivos inativados (sarampo, caxumba, rubéola, varicela, dengue) são de regra geral contraindicadas, exceto em situações muito especiais. 
Na dúvida consulte a versão mais recente do calendário vacinal do Ministério da Saúde ou da Sociedade Brasileira de Imunização. https://sbim.org.br/images/calendarios/calend-sbim-gestante.pdf"
ask_can_sleep_stomach,"No início da gestação, não tem problema. Mas, com o aumento da barriga, ela acaba se tornando inviável. O mais indicado é você dormir de lado, de preferência o esquerdo."
ask_can_hot_wax,"Você pode se depilar com lâmina e com cera. A chamada depilação a laser não é recomendada, por precaução, já que não são feitos testes em gestantes."
ask_can_pap_smear,"Pode, o exame é importante e deve ser feito de acordo com a recomendação de um profissional de saúde."
ask_can_drive,Existem muitas controvérsias sobre isso. Converse com o seu médico para ver o que ele acha melhor no seu caso.
ask_when_start_prenatal,É muito importante iniciar o pré natal assim que você fica sabendo que está grávida.
ask_when_episiotomy,A episiotomia é necessária em situações específicas onde se precise ampliar o canal de parto para o nascimento do bebê. Nao há indicações formais e atualmente não é procedimento realizado de rotina. Isso só será decidido no momento do parto e o médico irá informá-la sobre a necessidade de fazer a incisão e obter seu consentimento.
ask_when_baby_move,"Geralmente, você irá sentir o bebê mexendo pela primeira vez na barriga entre a 16ª e a 20ª semana de gestação, ou seja, no final do 4º mês ou durante o 5º mês de gravidez. Porém, se for a sua segunda gravidez, é normal sentir o bebê mexer mais cedo, entre o final do 3º mês e o início do 4º mês de gestação."
ask_when_start_braxton_hicks,"Essas contrações podem aparecer em torno da 20ª semana de gravidez, algumas vezes depois, mas no geral nesse período. Logo que o útero atinge uma altura significativa, os treinamentos uterinos para o parto iniciam."
ask_when_exam_feces,"Deve ser feito no início da gravidez e pode ser repetido se necessário, durante os nove meses."
ask_when_exam_blood_glucose,"Geralmente, logo no início da gravidez. 
Ao redor da 24ª semana, fase em que o corpo da gestante já encontra mais dificuldade em absorver o açúcar, é realizada a curva glicêmica ou teste de tolerância à glicose."
ask_when_exam_blood,Esse exame deve ser feito assim que se inicia o pré-natal.
ask_when_exam_urine,Esse exame deve ser feito assim que se inicia o pré-natal.
ask_when_exam_intravaginal_ultrasound,Esse exame deve ser feito assim que se inicia o pré-natal.
ask_when_exam_nuchal_translucency_ultrasound,Esse exame deve ser feito no 1º trimestre da gestação.
